Rank,WCA ID,Name,Elo
460,2022ARMA03,Tobiah Armada,1231
461,2019LUOY09,Yiran Luo (罗以然),1229
462,2022WOOS02,Samuel Woo,1228
463,2023KENN27,Luke Kennedy,1228
464,2016GOTT01,Benjamin Gottschalk,1227
465,2024DONG05,Chloe Dong,1225
466,2022MCWH01,Jarrett McWhirt,1223
467,2018LOPE20,Miguel Lopez-Lopez,1223
468,2022CROO02,Oliver Crook,1223
469,2023LAMR03,Rebecca Lam,1221
470,2024MATT03,Israel Jennings Mattox,1221
471,2023SCHM04,Willem A. Schmidt,1220
472,2020MAHO01,Andrew Mahovich,1220
473,2023HISE01,Andrew Hisey,1215
474,2023CART09,Brandon Carter,1213
475,2023BADA03,Ilyah Badalbayev,1213
476,2023FRAN01,Micah Franco,1212
477,2019HEND06,Easton Alexander Henderson,1212
478,2017SZYD01,Tyler Szydlo,1211
479,2022STOI05,Paul Stoici,1210
480,2022LEAD01,Bernard Leader,1210
481,2023BELL24,Makenna Bell,1210
482,2017PURD01,Nick Purdy,1209
483,2023WANK02,Kevin Wang,1209
484,2008VELA01,Nakai Velasquez,1206
485,2019HEWI02,Isaac Hewitt,1205
486,2019DABU03,Luke Dabu,1204
487,2022MICH06,Jonathan Michadick,1204
488,2018LEFE02,Xander Lefebvre,1203
489,2022TUCK01,Robert Amos Tucker,1203
490,2020BETT01,Jacob Bettinger,1200
491,2022MULL03,Harrison Mullins,1199
492,2017GREG02,Matthew Gregoire,1198
493,2022BENN15,Jackson Xander Bennett,1198
494,2023GAGN01,Nathaniel Gagnon,1198
495,2019FAVR01,Raoul Favret,1197
496,2022QUAD01,Carson Quadri,1197
497,2023CHIN15,Anvesh Reddy Chinnapu,1197
498,2022KIGH01,Matthew A. Kight,1197
499,2018DIXO01,Emma Dixon,1197
500,2024PERR01,Pearce Perry,1197
501,2017CHAP05,Luke Chapman,1196
502,2016HALL07,Davy Hallihan,1195
503,2019HOIN01,Preston Hoing,1195
504,2015POWE03,Parker Powell,1194
505,2023SACH03,Nathan Sachleben,1194
506,2023KOLI02,Satya Sudhai Kolipaka,1193
507,2016JETP01,Samuel Moses Jetpole,1191
508,2022SPIT04,David Spitzer,1191
509,2019SELF02,David Self,1190
510,2022MEYE01,Lucas Meyer,1190
511,2019WALS05,Patrick Walsh,1189
512,2023JENS05,Owen K. Jensen,1189
513,2017HIGH01,Jaedon Hight,1189
514,2010WUIF01,Yi-Fan Wu (吳亦凡),1186
515,2018WART01,Shaunak Warty,1186
516,2014HALL02,Zachary Hall,1185
517,2015TALB01,Seth Talbot,1184
518,2019LENG01,Alex Lengacher,1183
519,2019GUXI01,Xiyao Gu,1183
520,2023CHEN48,Daniel Cheng,1183
521,2022RODR54,Elliana Rodriguez-Mallory,1183
522,2023BOWS01,Jade Bowser,1182
523,2024JACK05,Roan Jackson,1182
524,2023WRIG16,Auggie Wright,1181
525,2024YARR01,Avanish Yarramsetty,1181
526,2023ESTE01,William James Estevez,1180
527,2017ORTI08,Ethan Ortiz,1176
528,2023POOI01,Grant Daniel Po’oi,1176
529,2024HEAT01,Joshua Heaton,1176
530,2024JOHN07,Bryan Alonzo Johnson,1174
531,2023PUJA02,Vishruth Sai Pujari,1174
532,2024GALL24,Carlos Galloni,1174
533,2024SHET06,Logan Shettle,1173
534,2015MAPP01,Bobby Mapp,1173
535,2023RASC01,Tyler Raschke,1173
536,2022DERO01,Ella Deroy,1173
537,2016CLIP01,Andrew Clippinger,1173
538,2023JONE15,Killian Jones,1172
539,2022BELL01,Josiah Bell,1171
540,2022CRAN02,Ezra Crane,1171
541,2023SCUL02,Wyatt Scull,1171
542,2018HODG03,Kevin M. Hodge,1171
543,2016WHIT11,George Whittington,1170
544,2019REIC01,Avi Reich,1170
545,2020CARR03,McKinley Carr,1170
546,2023GONZ44,Javier Gonzalez,1169
547,2022AIKE01,Brody Aiken,1169
548,2023GALL29,Shook Anderson Gallagher,1168
549,2016PROI01,Aidan Proietto,1167
550,2005DAYN01,Nathaniel Day,1167
551,2023CHON09,Noah Chon,1165
552,2003HARD01,Chris Hardwick,1164
553,2023VANU02,Andy Vanunu,1164
554,2022KUAD01,Mikael Kuada,1164
555,2022YOUN08,Isabella Young,1163
556,2022GAUT07,Smitty Gauthier,1162
